name	price	brand	grams
HiFiBerry Amp3	54.90	HiFiBerry	51
Black Soft Caps for Tactile Buttons (10-pack)	1.00	The Pi Hut	5
Clear Soft Caps for Tactile Buttons (10-pack)	1.00	The Pi Hut	2
1.9" Segment E-Paper Display Module	13.50	Waveshare	24
3.52" E-Paper HAT (360x240)	23.50	Waveshare	71
Debug Cable for Raspberry Pi Pico	1.50	The Pi Hut	3
Software-Controllable 5V 30mm Fan for Raspberry Pi	4.00	The Pi Hut	10
Wixel Shield for Arduino v1.1	18.50	The Pi Hut	17
Wixel Programmable USB Wireless Module (Fully Assembled)	29.90	Pololu	5
Narrow Moon Buggy Wheels - Pair	4.50	The Pi Hut	33
Movement Module (Simple Servo Controller)	4.20	Kitronik	4
10A 5V-30V 2-Channel DC Motor Driver	24.40	Cytron	50
20A 6V-30V Single-Channel DC Motor Driver	21.80	Cytron	60
20A 6V-30V 2-Channel DC Motor Driver	36.30	Cytron	90
Fermion: MAX30102 Heart Rate and Oximeter Sensor V2.0	16.50	DFRobot	17
ESP32-S3-DevKitC-1 Development Board	18.20	Espressif	0
3mm SC-SC Single Mode Duplex Fiber Jumper (3m)	4.70	DFRobot	0
Fermion: AHT20 Temperature and Humidity Sensor	4.00	DFRobot	0
Gravity: AHT20 Temperature and Humidity Sensor	4.50	DFRobot	0
Gravity: Liquid Flow Sensor (G1/4)	20.70	DFRobot	0
Gravity: Liquid Flow Sensor (G1/2)	20.70	DFRobot	0
Grove - Temperature & Humidity Sensor V2.0 (DHT20)	7.50	Seeed	10
Grove - Wio-E5 (STM32WLE5JC)	18.50	Seeed	11
Wio-E5 Dev Kit	29.50	Seeed	167
Seeeduino Nano	7.90	Seeed	0
Seeed XIAO SAMD21	6.00	Seeed	0
Grove - RGB LED Ring (16x WS2813 Mini)	10.70	Seeed	15
M5Stack 2-Channel AC Relay Module 13.2 (STM32F030)	10.90	M5Stack	54
M5Stack Extension Port Module for Core2	7.30	M5Stack	24
M5Stack Base AAA Battery Holder	8.90	M5Stack	52
M5Stack CO2 Unit with Temperature and Humidity Sensor (SCD40)	35.40	M5Stack	13
M5Stack Thermal Camera 2 Unit (MLX90640) -110 Degree FoV	72.70	M5Stack	13
5" Touch Screen Expansion for Raspberry Pi CM4	99.50	Waveshare	221
Large Inductive Wireless LEDs - 10 Pack	7.80	The Pi Hut	6
Round Panel Mount 5.5mm/2.1mm DC Barrel Jack Extension Cable - 30cm long	5.20	The Pi Hut	30
Tactile Switch Assortment - 25 Different Buttons with 10 Pieces of Each	20.70	The Pi Hut	85
2mm Pitch Universal Proto-board PCB - 6cm x 8cm	2.00	The Pi Hut	14
Motorised Slide Potentiometer - 10KΩ Linear with 5V DC Motor	25.90	The Pi Hut	64
JST-XH Extension Cable - 2.5mm Pitch - 500mm long	1.30	The Pi Hut	4
Step Switch with LED - Three Pack of Yellow with Red LED (PB86-A1)	4.70	The Pi Hut	3
Step Switch with LED - Three Pack of Green with Red LED (PB86)	4.70	The Pi Hut	3
Step Switch with LED - Three Pack of Gray with Red LED (PB86-A1)	4.70	The Pi Hut	3
Step Switch with LED - Three Pack of Blue with Red LED (PB86-A1)	4.70	The Pi Hut	3
Step Switch with LED - Three Pack of Black with Red LED (PB86)	4.70	The Pi Hut	3
Conductive Rubber Sheet / Stretch Sensor- 200mm x 200mm x 1mm	7.80	The Pi Hut	52
Conductive Rubber Sheet / Stretch Sensor- 200mm x 200mm x 0.5mm	5.70	The Pi Hut	31
DIY Magnetic Connector - Straight 6 Contact Pins - 2.2mm Pitch	8.20	The Pi Hut	6
DIY Magnetic Connector - Straight 7 Contact Pins - 2.2mm Pitch	9.30	The Pi Hut	6
DIY Magnetic Connector - Straight 8 Contact Pins - 2.2mm Pitch	10.30	The Pi Hut	7
DIY Magnetic Connector - Straight 9 Contact Pins - 2.2mm Pitch	11.40	The Pi Hut	6
Adafruit PCF8575 I2C 16 GPIO Expander Breakout - STEMMA QT / Qwiic	6.20	Adafruit	6
Assembled Adafruit 0.56" 4-Digit 7-Segment Display - w/ I2C Backpack QT - White	15.50	Adafruit	17
Assembled Adafruit 0.56" 4-Digit 7-Segment Display - w/ I2C Backpack QT - Blue	12.90	Adafruit	17
Multi-Colour Micro Potentiometer Knob - Rainbow 10 pack	7.90	The Pi Hut	13
Green Micro Potentiometer Knob - 4 pack	3.20	The Pi Hut	3
Cream Micro Potentiometer Knob - 4 pack	3.20	The Pi Hut	5
Brown Micro Potentiometer Knob - 4 pack	3.20	The Pi Hut	3
Violet Micro Potentiometer Knob - 4 pack	3.20	The Pi Hut	3
Yellow Micro Potentiometer Knob - 4 pack	3.20	The Pi Hut	5
White Micro Potentiometer Knob - 4 pack	3.20	The Pi Hut	5
Orange Micro Potentiometer Knob - 4 pack	3.20	The Pi Hut	5
Red Micro Potentiometer Knob - 4 pack	3.20	The Pi Hut	5
Blue Micro Potentiometer Knob - 4 pack	3.20	The Pi Hut	3
SparkFun Qwiic Speaker Amp	12.00	Sparkfun	10
SparkFun Micro Magnetometer - MMC5983MA (Qwiic)	16.90	Sparkfun	1
SparkFun Micro Pressure Sensor - BMP384 (Qwiic)	17.90	Sparkfun	1
SparkFun Pressure Sensor - BMP581 (Qwiic)	21.10	Sparkfun	3
SparkFun Micro Pressure Sensor - BMP581 (Qwiic)	22.20	Sparkfun	1
